trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-127.47314672913076,"{0: 10, 1: 6, 2: 1, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-88.44310107799808,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,6,-110.62860495800474,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 2}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-212.00250602805244,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-113.70119494796376,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-183.54870301383372,"{0: 8, 1: 0, 2: 9, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-165.07202431800036,"{0: 18, 1: 0, 2: 8, 3: 3, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-130.2178328489151,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-112.22529936892055,"{0: 24, 1: 1, 2: 2, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,2,-86.81290827789287,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-57.06691199961662,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,3,-67.96903605120664,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 2}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-49.5194834151341,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,2,-185.2255751981593,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 4}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,4,-90.83352724525709,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 2}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-68.94998877089957,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,6,-43.50648493056033,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 2}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,5,-24.7149859234175,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",35,17,-26.881585066824833,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-9.39211227784171,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,0,-43.27919664163551,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,0,-31.996725229216473,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",30,3,-10.363455390757052,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",30,0,24.461340448772702,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,-38.51720430212943,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,0,-45.703253181458244,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",25,18,12.438783905140651,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,8,19.586088600365045,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,14,10.789418282972328,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,0,-51.49249709151993,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
