trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.55, 'e': 0.9998}",25,0,-181.59737296796317,"{0: 16, 1: 0, 2: 4, 3: 2, 4: 3}",0
2,False,"{'a': 0.55, 'e': 0.9996}",20,0,-112.63950266628895,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
3,False,"{'a': 0.55, 'e': 0.9994000000000001}",30,0,-148.03214297735144,"{0: 19, 1: 2, 2: 4, 3: 4, 4: 1}",0
4,False,"{'a': 0.55, 'e': 0.9992000000000001}",25,0,-92.56046292943103,"{0: 14, 1: 2, 2: 8, 3: 1, 4: 0}",0
5,False,"{'a': 0.55, 'e': 0.9990000000000001}",25,0,-106.51533434694079,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
6,False,"{'a': 0.55, 'e': 0.9988000000000001}",20,0,-55.55807164607895,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.55, 'e': 0.9986000000000002}",30,0,-252.12484965711624,"{0: 15, 1: 4, 2: 5, 3: 2, 4: 4}",0
8,False,"{'a': 0.55, 'e': 0.9984000000000002}",30,0,-188.576252069608,"{0: 13, 1: 3, 2: 11, 3: 2, 4: 1}",0
9,False,"{'a': 0.55, 'e': 0.9982000000000002}",20,0,-122.45283657106452,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
10,False,"{'a': 0.55, 'e': 0.9980000000000002}",20,0,-167.6366829799349,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
11,False,"{'a': 0.55, 'e': 0.9978000000000002}",20,0,-218.63969268268426,"{0: 6, 1: 2, 2: 9, 3: 0, 4: 3}",0
12,False,"{'a': 0.55, 'e': 0.9976000000000003}",25,0,-91.36407358865856,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.55, 'e': 0.9974000000000003}",30,0,-132.4520809594608,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
14,False,"{'a': 0.55, 'e': 0.9972000000000003}",25,0,-99.08319952465096,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.55, 'e': 0.9970000000000003}",30,0,-132.58569931253706,"{0: 21, 1: 2, 2: 3, 3: 2, 4: 2}",0
16,False,"{'a': 0.55, 'e': 0.9968000000000004}",25,0,-130.21148670579788,"{0: 13, 1: 4, 2: 4, 3: 4, 4: 0}",0
17,False,"{'a': 0.55, 'e': 0.9966000000000004}",25,0,-85.7180520450081,"{0: 17, 1: 0, 2: 6, 3: 2, 4: 0}",0
18,False,"{'a': 0.55, 'e': 0.9964000000000004}",25,0,-127.6976191716466,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
19,False,"{'a': 0.55, 'e': 0.9962000000000004}",20,0,-143.67592096499556,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
20,False,"{'a': 0.55, 'e': 0.9960000000000004}",30,0,-204.45315464792245,"{0: 19, 1: 0, 2: 7, 3: 0, 4: 4}",0
21,False,"{'a': 0.55, 'e': 0.9958000000000005}",30,0,-264.6072175347434,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 5}",0
22,False,"{'a': 0.55, 'e': 0.9956000000000005}",20,0,-105.50759731563092,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
23,False,"{'a': 0.55, 'e': 0.9954000000000005}",20,10,-6.299971290880727,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
24,False,"{'a': 0.55, 'e': 0.9952000000000005}",30,0,-180.71620142676147,"{0: 19, 1: 4, 2: 3, 3: 0, 4: 4}",0
25,False,"{'a': 0.55, 'e': 0.9950000000000006}",20,0,-156.1967413921824,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
26,False,"{'a': 0.55, 'e': 0.9948000000000006}",20,0,-88.67202613903918,"{0: 9, 1: 2, 2: 9, 3: 0, 4: 0}",0
27,False,"{'a': 0.55, 'e': 0.9946000000000006}",25,0,-174.33499399542112,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
28,False,"{'a': 0.55, 'e': 0.9944000000000006}",20,11,-42.9614909541379,"{0: 5, 1: 0, 2: 3, 3: 1, 4: 0}",1
29,False,"{'a': 0.55, 'e': 0.9942000000000006}",25,0,-191.6969356833573,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
30,False,"{'a': 0.55, 'e': 0.9940000000000007}",25,1,-150.55542647531405,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 3}",1
31,False,"{'a': 0.55, 'e': 0.9938000000000007}",25,0,-171.28160056552403,"{0: 12, 1: 2, 2: 9, 3: 0, 4: 2}",0
32,False,"{'a': 0.55, 'e': 0.9936000000000007}",30,0,-292.96337632077444,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 5}",0
33,False,"{'a': 0.55, 'e': 0.9934000000000007}",20,0,-130.72922890409296,"{0: 11, 1: 1, 2: 4, 3: 3, 4: 1}",0
34,False,"{'a': 0.55, 'e': 0.9932000000000007}",25,0,-166.5606260532546,"{0: 13, 1: 5, 2: 3, 3: 2, 4: 2}",0
35,False,"{'a': 0.55, 'e': 0.9930000000000008}",25,0,-140.38884144630498,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 3}",0
36,False,"{'a': 0.55, 'e': 0.9928000000000008}",30,0,-64.47514333764839,"{0: 22, 1: 2, 2: 4, 3: 2, 4: 0}",0
37,False,"{'a': 0.55, 'e': 0.9926000000000008}",20,0,-132.23174764540576,"{0: 9, 1: 4, 2: 4, 3: 2, 4: 1}",0
38,False,"{'a': 0.55, 'e': 0.9924000000000008}",25,0,-51.487109954574734,"{0: 16, 1: 5, 2: 3, 3: 1, 4: 0}",0
39,False,"{'a': 0.55, 'e': 0.9922000000000009}",35,0,-119.03599801825214,"{0: 22, 1: 5, 2: 6, 3: 1, 4: 1}",0
40,False,"{'a': 0.55, 'e': 0.9920000000000009}",20,0,-67.60481919096152,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
41,False,"{'a': 0.55, 'e': 0.9918000000000009}",20,0,-120.24668191103989,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
42,False,"{'a': 0.55, 'e': 0.9916000000000009}",20,0,-66.24059728257902,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
43,False,"{'a': 0.55, 'e': 0.991400000000001}",30,0,-155.18614433532147,"{0: 17, 1: 1, 2: 9, 3: 2, 4: 1}",0
44,False,"{'a': 0.55, 'e': 0.991200000000001}",30,0,-155.39085720572672,"{0: 16, 1: 3, 2: 8, 3: 2, 4: 1}",0
45,False,"{'a': 0.55, 'e': 0.991000000000001}",30,0,-140.02316664505648,"{0: 18, 1: 2, 2: 7, 3: 2, 4: 1}",0
46,False,"{'a': 0.55, 'e': 0.990800000000001}",30,0,-178.81872284839943,"{0: 18, 1: 2, 2: 7, 3: 0, 4: 3}",0
47,False,"{'a': 0.55, 'e': 0.990600000000001}",30,0,-105.24435574638277,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
48,False,"{'a': 0.55, 'e': 0.9904000000000011}",30,0,-196.20244985788608,"{0: 16, 1: 0, 2: 11, 3: 1, 4: 2}",0
49,False,"{'a': 0.55, 'e': 0.9902000000000011}",25,0,-142.87497532893534,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
50,False,"{'a': 0.55, 'e': 0.9900000000000011}",25,0,-313.3424912382436,"{0: 9, 1: 3, 2: 5, 3: 3, 4: 5}",0
