trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.55, 'e': 0.9998}",25,0,-182.40450594430902,"{0: 11, 1: 7, 2: 4, 3: 0, 4: 3}",0
2,False,"{'a': 0.55, 'e': 0.9996}",30,0,-176.61060350222036,"{0: 21, 1: 0, 2: 4, 3: 2, 4: 3}",0
3,False,"{'a': 0.55, 'e': 0.9994000000000001}",30,0,-162.31235277238514,"{0: 16, 1: 4, 2: 6, 3: 3, 4: 1}",0
4,False,"{'a': 0.55, 'e': 0.9992000000000001}",20,0,-88.24396530605438,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
5,False,"{'a': 0.55, 'e': 0.9990000000000001}",25,0,-214.28811028112142,"{0: 11, 1: 4, 2: 6, 3: 1, 4: 3}",0
6,False,"{'a': 0.55, 'e': 0.9988000000000001}",30,0,-175.5254379852435,"{0: 21, 1: 3, 2: 1, 3: 1, 4: 4}",0
7,False,"{'a': 0.55, 'e': 0.9986000000000002}",30,0,-91.95709614907659,"{0: 19, 1: 4, 2: 5, 3: 2, 4: 0}",0
8,False,"{'a': 0.55, 'e': 0.9984000000000002}",20,0,-105.36450787607242,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.55, 'e': 0.9982000000000002}",20,0,-123.63254830731944,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
10,False,"{'a': 0.55, 'e': 0.9980000000000002}",20,4,-72.23725733554444,"{0: 10, 1: 1, 2: 2, 3: 3, 4: 0}",1
11,False,"{'a': 0.55, 'e': 0.9978000000000002}",25,0,-84.42704748794401,"{0: 16, 1: 5, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.55, 'e': 0.9976000000000003}",25,0,-97.04216613663337,"{0: 13, 1: 4, 2: 7, 3: 1, 4: 0}",0
13,False,"{'a': 0.55, 'e': 0.9974000000000003}",25,0,-141.5433099192677,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
14,False,"{'a': 0.55, 'e': 0.9972000000000003}",25,0,-140.25106740595305,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
15,False,"{'a': 0.55, 'e': 0.9970000000000003}",20,0,-78.158442837117,"{0: 9, 1: 5, 2: 6, 3: 0, 4: 0}",0
16,False,"{'a': 0.55, 'e': 0.9968000000000004}",20,0,-61.55494148300451,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.55, 'e': 0.9966000000000004}",20,0,-73.65195309465855,"{0: 10, 1: 5, 2: 4, 3: 1, 4: 0}",0
18,False,"{'a': 0.55, 'e': 0.9964000000000004}",25,0,-108.4758324011329,"{0: 12, 1: 5, 2: 6, 3: 2, 4: 0}",0
19,False,"{'a': 0.55, 'e': 0.9962000000000004}",25,0,-137.2514905501898,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
20,False,"{'a': 0.55, 'e': 0.9960000000000004}",20,0,-181.4102962318678,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
1,True,"{'a': 0, 'e': 0}",35,0,-160.54178091285334,"{0: 21, 1: 1, 2: 10, 3: 2, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,0,-103.81250806918231,"{0: 15, 1: 4, 2: 2, 3: 4, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,-86.3791025292766,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",25,0,-113.01292001234391,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,0,-180.19584803317963,"{0: 13, 1: 1, 2: 7, 3: 2, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",25,0,-122.57186192453602,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",20,7,-95.21758246075898,"{0: 5, 1: 4, 2: 2, 3: 1, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",25,0,-207.8433582472588,"{0: 13, 1: 5, 2: 2, 3: 1, 4: 4}",0
9,True,"{'a': 0, 'e': 0}",25,0,-75.85634211247788,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",25,0,-157.79306652085,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
